n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
1,0.00363,0.00297,0.00294,0.11525,0.16656,0.11701
2,0.00385,0.00315,0.00283,0.16546,0.11669,0.11667
3,0.00322,0.00286,0.00278,0.11592,0.16616,0.11600
4,0.00342,0.00280,0.00293,0.11571,0.16674,0.11646
5,0.00363,0.00357,0.00284,0.11506,0.16549,0.16713
6,0.00343,0.00281,0.00345,0.11578,0.16560,0.11605
7,0.00323,0.00364,0.00302,0.11579,0.11661,0.16630
8,0.00288,0.00265,0.00191,0.11554,0.11507,0.11554
9,0.00269,0.00221,0.00272,0.11540,0.11555,0.16558
10,0.00315,0.00352,0.00337,0.16584,0.11613,0.16924
11,0.00338,0.00313,0.00339,0.16630,0.11623,0.11578
12,0.00391,0.00325,0.00341,0.16650,0.11645,0.11674
13,0.00322,0.00295,0.00296,0.11565,0.11649,0.11636
14,0.00342,0.00340,0.00339,0.16636,0.11642,0.11595
15,0.00317,0.00264,0.00366,0.11606,0.16622,0.11643
16,0.00315,0.00346,0.00339,0.16634,0.11660,0.11601
17,0.00366,0.00356,0.00281,0.11533,0.11540,0.16653
18,0.00374,0.00359,0.00308,0.16651,0.16666,0.11666
19,0.00355,0.00350,0.00359,0.11624,0.16637,0.16606
20,0.00306,0.00300,0.00246,0.11497,0.11552,0.11530
21,0.00309,0.00289,0.00292,0.11521,0.16629,0.11597
22,0.00285,0.00314,0.00342,0.16631,0.11595,0.11549
23,0.00326,0.00323,0.00350,0.11605,0.16647,0.11613
24,0.00323,0.00573,0.00328,0.11625,0.16673,0.16733
25,0.00339,0.00965,0.00320,0.11613,0.21704,0.16710
26,0.00349,0.00935,0.00335,0.11600,0.21685,0.11651
27,0.00367,0.00514,0.00324,0.11599,0.26703,0.16683
28,0.00367,0.00935,0.00310,0.11576,0.41731,0.11681
29,0.00400,0.03395,0.00371,0.11635,0.66831,0.11548
30,0.00294,0.06537,0.00278,0.11572,0.91884,0.11586
31,0.00358,0.06617,0.00365,0.11592,1.47160,0.11654
32,0.00396,0.03395,0.00334,0.11649,2.12267,0.16604
33,0.00296,0.06491,0.00349,0.11528,3.17305,0.16649
34,0.00340,0.16573,0.00305,0.11535,5.02613,0.11564
35,0.00305,0.16549,0.00299,0.11514,8.18454,0.16636
36,0.00367,0.26604,0.00341,0.11567,13.25492,0.16634
37,0.00291,0.41594,0.00318,0.16617,22.27404,0.11661
38,0.00371,0.56744,0.00367,0.11633,34.03203,0.16653
39,0.00302,0.91908,0.00384,0.11627,54.52013,0.16625
40,0.00279,1.42158,0.00343,0.16637,-,0.16749
41,0.00411,2.27567,0.00384,0.16665,-,0.16693
42,0.00319,3.68090,0.00352,0.16670,-,0.11668
43,0.00308,5.83054,0.00264,0.16628,-,0.11536
44,0.00300,9.55208,0.00296,0.11531,-,0.16624
45,0.00359,15.70533,0.00395,0.16641,-,0.16650
46,0.00392,24.99542,0.00400,0.16670,-,0.11560
47,0.00309,40.49661,0.00380,0.11660,-,0.16725
48,0.00347,-,0.00345,0.16859,-,0.11642
49,0.00355,-,0.00326,0.11570,-,0.11568
50,0.00356,-,0.00337,0.11604,-,0.16671
51,0.00424,-,0.00344,0.11578,-,0.11659
52,0.00363,-,0.00336,0.11577,-,0.11596
53,0.00344,-,0.00317,0.11579,-,0.16690
54,0.00331,-,0.00355,0.11595,-,0.11612
55,0.00366,-,0.00336,0.11597,-,0.11646
56,0.00323,-,0.00281,0.16686,-,0.11616
57,0.00345,-,0.00362,0.16603,-,0.11639
58,0.00344,-,0.00331,0.11598,-,0.21643
59,0.00329,-,0.00344,0.11534,-,0.11578
60,0.00350,-,0.00301,0.11552,-,0.16648
61,0.00350,-,0.00318,0.11582,-,0.16743
62,0.00419,-,0.00311,0.11606,-,0.11565
63,0.00314,-,0.00369,0.11595,-,0.11652
64,0.00325,-,0.00293,0.11574,-,0.16695
65,0.00336,-,0.00322,0.16620,-,0.16697
66,0.00374,-,0.00321,0.11595,-,0.16682
67,0.00399,-,0.00358,0.16649,-,0.11651
68,0.00334,-,0.00365,0.16638,-,0.16673
69,0.00347,-,0.00380,0.16696,-,0.11622
70,0.00334,-,0.00327,0.11615,-,0.16681
71,0.00357,-,0.00339,0.11599,-,0.11679
72,0.00400,-,0.00376,0.16630,-,0.11606
73,0.00371,-,0.00323,0.11613,-,0.11727
74,0.00357,-,0.00323,0.11632,-,0.11666
75,0.00336,-,0.00263,0.16550,-,0.11571
76,0.00391,-,0.00362,0.16637,-,0.11511
77,0.00265,-,0.00296,0.11476,-,0.16609
78,0.00318,-,0.00303,0.11533,-,0.11635
79,0.00381,-,0.00351,0.11646,-,0.11647
80,0.00377,-,0.00347,0.16654,-,0.11622
81,0.00399,-,0.00377,0.16634,-,0.11622
82,0.00308,-,0.00319,0.11610,-,0.11595
83,0.00335,-,0.00351,0.11590,-,0.11646
84,0.00391,-,0.00309,0.16603,-,0.16744
85,0.00343,-,0.00310,0.16646,-,0.11683
86,0.00351,-,0.00355,0.11640,-,0.11662
87,0.00372,-,0.00315,0.11611,-,0.11646
88,0.00434,-,0.00310,0.11557,-,0.11646
89,0.00371,-,0.00348,0.11575,-,0.11638
90,0.00324,-,0.00354,0.11560,-,0.16606
91,0.00349,-,0.00293,0.11562,-,0.11623
92,0.00296,-,0.00260,0.11519,-,0.11563
93,0.00309,-,0.00285,0.11534,-,0.16620
94,0.00388,-,0.00360,0.16656,-,0.11613
95,0.00404,-,0.00367,0.11605,-,0.16624
96,0.00345,-,0.00311,0.16560,-,0.11546
97,0.00363,-,0.00294,0.11496,-,0.16567
98,0.00332,-,0.00316,0.16572,-,0.11579
99,0.00401,-,0.00342,0.11533,-,0.11533
100,0.00318,-,0.00321,0.16572,-,0.16535
101,0.00344,-,0.00330,0.16629,-,0.11660
102,0.00367,-,0.00354,0.11577,-,0.16647
103,0.00341,-,0.00334,0.11593,-,0.16675
104,0.00345,-,0.00339,0.11654,-,0.16662
105,0.00293,-,0.00290,0.16583,-,0.11586
106,0.00321,-,0.00296,0.11634,-,0.11642
107,0.00345,-,0.00336,0.16641,-,0.11624
108,0.00385,-,0.00333,0.11639,-,0.11602
109,0.00358,-,0.00342,0.11574,-,0.16695
110,0.00375,-,0.00256,0.11631,-,0.16606
111,0.00394,-,0.00384,0.11621,-,0.16643
112,0.00326,-,0.00278,0.16696,-,0.16641
113,0.00256,-,0.00231,0.11489,-,0.11593
114,0.00361,-,0.00252,0.16531,-,0.11547
115,0.00278,-,0.00375,0.11651,-,0.16655
116,0.00378,-,0.00320,0.11625,-,0.16709
